rowname	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
FBgn0000003	0.1715687152070627	-0.0071074852459170655	0.02876341330384307	-0.2696214654962757	0.78745148465844	NA
FBgn0000008	95.14407899631335	-0.0014778193770022773	0.1540734585388929	-0.009609554808905527	0.9923328025846635	0.9969271011703535
FBgn0000014	1.0565721934616605	0.011973198499364466	0.05043462245272574	0.22994203904397	0.8181368089926719	NA
FBgn0000015	0.8467232749877087	0.04665638062091898	0.0525929637276695	0.8938154628325522	0.37142063450411344	NA
FBgn0000017	4352.592898793501	0.2098476342087236	0.1101997834711188	1.9045945027425233	0.0568328017331935	0.282361133814814
FBgn0000018	418.61493050512235	0.08745073109034879	0.12368466882948051	0.7067636046937485	0.47971339557026876	0.8239072619338313
FBgn0000022	0.0796749105101128	0.005575987830531205	0.02876341330384307	0.18868708880271257	0.8503380714592127	NA
FBgn0000024	6.406289194769609	-0.039814651449753706	0.12985732457659038	-0.3053632667457088	0.7600894954145605	NA
FBgn0000028	0.4389000240850166	-0.018443646894910747	0.038581114138626756	-0.5087974943607677	0.6108941758932793	NA
FBgn0000032	989.730032286706	0.07677154229436224	0.12336563161977125	0.6222521690112411	0.5337760670967652	0.8497739492055043
FBgn0000036	0.5895963327298718	0.001606292877869456	0.047069199986714494	0.028397279345671662	0.9773452940953395	NA
FBgn0000037	14.094813865357805	-0.1456401366982961	0.15426001172112042	-0.9423394921008871	0.3460188551697513	0.7409094241260201
FBgn0000038	0	NA	NA	NA	NA	NA
FBgn0000039	0.4389000240850166	-0.018443646894910747	0.038581114138626756	-0.5087974943607677	0.6108941758932793	NA
FBgn0000042	82207.7246355838	-0.2669653807298051	0.11924959457550871	-2.237949545112921	0.02522434557109524	0.16453152679328031
FBgn0000043	31162.080098154784	-0.5449256637313933	0.10841428558519474	-5.024253328667693	5.053949065954563e-7	1.7239351670467143e-5
FBgn0000044	27.014216282908837	-0.1641921314111967	0.16228346331019666	-1.0006073064774086	0.3170166963301439	0.71931252688656
FBgn0000045	6.497687868246463	-0.027713554008264352	0.12717906631695514	-0.2138422050238618	0.8306701112803756	NA
FBgn0000046	23.68656558719292	-0.20872852211944215	0.15776464473515306	-1.3106073322381326	0.1899904607508453	0.5690142514678969
FBgn0000047	9.274467683761415	-0.14266810493081214	0.1338240243256283	-1.0363538454124135	0.3000370943301926	0.7028426777814935
FBgn0000052	2342.8783806335223	0.11588791712888509	0.1169406326361606	0.9912163104520699	0.32157996788636706	0.721371475295331
FBgn0000053	2100.2787686818574	-0.25301461830038546	0.11728687992292681	-2.1569711544590136	0.031007912061218786	0.18934618641637854
FBgn0000054	654.2882094975339	0.10639948832899762	0.10514142035069833	1.0120204949553537	0.3115282541823903	0.7131271354735234
FBgn0000055	0.08734367694653804	-0.0071074852459170655	0.02876341330384307	-0.23628747160437197	0.8132096079424729	NA
FBgn0000056	0	NA	NA	NA	NA	NA
FBgn0000057	682.6483178822937	0.020768406147209616	0.1072487498641746	0.19369625812869024	0.8464137219387375	0.9631572964640789
FBgn0000061	1.5783526543290607	-0.014758988369738935	0.07099970452554448	-0.20952326062868445	0.8340397789822003	NA
FBgn0000063	404.7717749590633	-0.17845112149930245	0.11273214786788407	-1.5825009535157772	0.11353525481381141	0.43032791422458827
FBgn0000064	7917.160806569243	-0.27314242776617054	0.0943307820904731	-2.89535916445805	0.0037872493072024626	0.03923346059665024
FBgn0000071	342.23840719509997	-2.0648560570374968	0.13938761033540556	-14.673664653051436	9.506873497532795e-49	8.791745346662829e-46
FBgn0000075	2.0524421521126954	0.029671224912873453	0.08617232013641929	0.3440712204777318	0.7307927257563833	NA
FBgn0000077	224.19908328608614	0.04578628592194751	0.12824129555816968	0.35708180824771124	0.7210305628542104	0.9271231620882444
FBgn0000078	29.015781714027423	0.4139272295521138	0.16429205867916383	2.568219076257319	0.010222252983643583	0.08611316961828495
FBgn0000079	159.51529380095707	0.4893888204740566	0.16602359929182453	3.0139363230879366	0.0025788192567869155	0.02892656694641172
FBgn0000083	5442.631704543613	0.007123536705323766	0.11556617655538662	0.061644009341946825	0.9508463291758952	0.9896651247268671
FBgn0000084	1695.9100208876798	0.1176480817081691	0.13498439415293167	0.8720347859212876	0.3831894008070368	0.7650000918486369
FBgn0000092	12.612898272447094	-0.23338615428391327	0.15373885448910962	-1.515606624691353	0.12961885094473416	0.463608808084668
FBgn0000094	21.09000887108774	-0.15928332598686357	0.15864194787839822	-0.9995804548277104	0.31751358575276734	0.71931252688656
FBgn0000097	3047.8238441652798	-0.006212373079991222	0.10727754798205603	-0.05790832792014893	0.9538216495351587	0.9903514956438532
FBgn0000099	1.6717340460853989	0.022612482643999884	0.07384149341321533	0.3085258474596348	0.7576822354290628	NA
FBgn0000100	25406.837438452832	0.1397058860863999	0.11304344101865194	1.2360484992922651	0.2164405364997002	0.6036979173213822
FBgn0000108	50.073954150076084	-0.09166564110955702	0.16529800866587369	-0.5548088113120794	0.5790254395959941	0.8663003296346322
FBgn0000109	132.5281640984968	0.14024563467849188	0.1639261067666803	0.8547132110498994	0.3927099350089739	0.7698061292931635
FBgn0000114	3.6912056458997804	0.0012758926900604843	0.09291593033472824	0.013643696375557922	0.9891142430421356	NA
FBgn0000115	572.4816758898131	-0.05665842543268467	0.10573636215189954	-0.5358970108408786	0.5920297304556066	0.8735786374927496
FBgn0000116	658.3922469506062	-0.9753949261371978	0.14318685830887676	-6.79584385654661	1.0768035529021018e-11	8.617534587311725e-10
FBgn0000117	10812.682313562964	-0.13960768478451605	0.10378978406259481	-1.345015829867667	0.1786201226029301	0.549621731406459
FBgn0000119	643.4936040109524	0.09332285458254028	0.10560872128005398	0.8837820061433441	0.3768139016388422	0.7612214160079388
FBgn0000120	0	NA	NA	NA	NA	NA
FBgn0000121	9.080373216196104	-0.018788139679244597	0.1389508018817437	-0.1327425079516249	0.8943970238334826	0.9779393136758453
FBgn0000137	0.08734367694653804	-0.0071074852459170655	0.02876341330384307	-0.23628747160437197	0.8132096079424729	NA
FBgn0000139	647.1940028935821	0.3620980078849321	0.10072489050715866	3.593820414548037	3.25864479910739e-4	0.0052663496432953025
FBgn0000140	946.0013676351045	-0.060485584070043966	0.12153786091596243	-0.49755840341973173	0.6187953285651915	0.8870861183881183
FBgn0000142	1905.92194472857	0.08941781443608418	0.09702498267817246	0.9216514576009724	0.35671040839279355	0.7468003709288753
FBgn0000146	1576.3064147581267	-0.4498751506504357	0.0914339533796377	-4.919546513863308	8.674495317981074e-7	2.8601300311290178e-5
FBgn0000147	415.443457019284	-0.3569524720745176	0.1186489330928723	-3.0083053902569823	0.002627089983019034	0.02934935560894956
FBgn0000150	8947.899876791342	-0.23365397687634315	0.12142747937446662	-1.9236754865442793	0.05439527255120037	0.2755519497526724
FBgn0000152	510.94105249910626	-0.1150995593772409	0.12000977143181744	-0.9593681609840379	0.3373733088008405	0.7337513876093348
FBgn0000153	24.802962120149516	0.07636303838519806	0.16265049666112733	0.47397077430466983	0.6355207483017002	0.8956043325626568
FBgn0000157	0.2848543360533047	0.014923633504280982	0.030323219723814392	0.4614890085749733	0.6444478053979191	NA
FBgn0000158	6.04274854909531	-0.023618335864533456	0.12860276269770424	-0.1818900701004515	0.8556689974211782	NA
FBgn0000163	896.1172489346447	0.09989150068067632	0.12730894466775627	0.7849544525339756	0.43248027408124445	0.7951255403530368
FBgn0000166	8.046143138028908	0.00285483089671363	0.1285583743678763	0.022588434415734632	0.9819785694745586	0.9950094513923488
FBgn0000171	6836.918631409068	0.02370654398744736	0.13127294274816867	0.18060924978872547	0.856674295006854	0.9664754356379062
FBgn0000173	1545.7615351869188	-0.1362193349670976	0.10568799937221826	-1.288749263415088	0.19748526986729517	0.5779430032016517
FBgn0000179	1.0641266789311294	-0.026088853474741974	0.05798974731415117	-0.4350225626039646	0.6635460503205758	NA
FBgn0000180	27.40685186164501	-0.16131845280742643	0.16345342592635495	-0.9928538947188109	0.32078116097795495	0.721371475295331
FBgn0000181	13451.887725985685	0.1527024177314902	0.09241208432205683	1.6524910912490367	0.09843447974637708	0.3941773886113901
FBgn0000182	3.817863082093884	0.023477474750967252	0.10721457130139347	0.22521987024068826	0.8218082322931729	NA
FBgn0000183	2642.6463634342144	0.012611885269959556	0.07937241257128179	0.15889290631492148	0.8737532496347784	0.9725716725504242
FBgn0000206	0	NA	NA	NA	NA	NA
FBgn0000210	1573.200605669259	-0.02812109243920202	0.12645376356571317	-0.22241277667734508	0.8239925665433572	0.9609109674770607
FBgn0000212	3287.464960867753	-0.09046276794834296	0.09525393982167268	-0.9497124433142515	0.34225838533475034	0.7376290631352939
FBgn0000216	0.19004814543694687	0.005575987830531204	0.02876341330384307	0.2025502117230256	0.8394866085070973	NA
FBgn0000221	208.61988716935502	0.20319392172581963	0.1314667449221878	1.5466121196436051	0.12195680547514157	0.4465022896153285
FBgn0000227	0	NA	NA	NA	NA	NA
FBgn0000228	781.1713112385614	0.09191629566130283	0.10975204467020443	0.8376228009271811	0.40224258300926025	0.7758667481775372
FBgn0000229	907.4859668644525	0.08812460522121938	0.1399048821095945	0.6297398677781477	0.528864793832615	0.84825832126369
FBgn0000233	5.157426367297559	0.12525697682250073	0.11609984260353161	1.0885395848695851	0.27635697124259523	NA
FBgn0000239	2481.486239535565	0.025834346134740144	0.0875927252596653	0.2949361954581545	0.7680426211637483	0.944955338845743
FBgn0000241	8.279845271948583	-0.008676549542918102	0.12462925880756368	-0.06997636736250916	0.9442124696301597	0.9890162478786357
FBgn0000242	160.6702874606279	-0.09186114844504516	0.13222617337936368	-0.6944681740882995	0.48738865293591593	0.8276264420316982
FBgn0000244	510.1869283786876	0.34228207805524724	0.11511525937155428	2.9730893168374526	0.0029481864685068295	0.03207549800965012
FBgn0000246	176.41172412569654	-0.09125559595515202	0.1657666338096102	-0.5479757495781016	0.5837085542848186	0.8692363337550135
FBgn0000247	2662.774419579034	0.1436977331648015	0.10708917724116862	1.3420794630056059	0.1795702319996689	0.5508594215759102
FBgn0000250	2251.3370922709246	0.09220360485725826	0.09620400464615177	0.958466984770885	0.3378273318666134	0.7337513876093348
FBgn0000251	1.974925622283889	-0.03028103431817247	0.08540664834314908	-0.35701623260835863	0.721079653618709	NA
FBgn0000253	10292.420742236152	-0.06580096258595505	0.1261709343537481	-0.5214423779046281	0.6020586365591957	0.8789849792712043
FBgn0000256	2184.412746294406	0.3912293608207053	0.11250665301747992	3.478449775700601	5.043229349339362e-4	0.007689859117750914
FBgn0000257	753.2793593625763	-0.04824899755999309	0.12113087385339816	-0.39846232883060645	0.690289421458817	0.9158867662560087
FBgn0000258	1079.5721674489284	-0.025283780621890094	0.16409868305427294	-0.15386364155216112	0.8777172525026828	0.9743237536165423
FBgn0000259	2030.2547090542425	0.036559276020251136	0.13911888168550507	0.26276028085695846	0.7927353513050887	0.9517999082587428
FBgn0000261	1903.1759382178345	0.1418901921497364	0.11112128017933032	1.2771659392377	0.20154366922172484	0.5861186621215797
FBgn0000273	2102.2377542858703	0.10454030208450354	0.12414389196618449	0.8421814984515952	0.39968636830298127	0.774526110217861
FBgn0000274	0	NA	NA	NA	NA	NA
FBgn0000276	69.49685911255233	-0.06038427178942466	0.16252045118066463	-0.36895933404069847	0.7121580362682092	0.9225356164763121
FBgn0000277	31.980751770035845	0.14671426517526048	0.153071940317863	0.9651323131894745	0.3344785439857182	0.7327888711748178
FBgn0000278	44.702843645213576	0.3696936460843496	0.16525113998860444	2.233693034059972	0.025503277661527275	0.16565926677745738
FBgn0000279	98.31314691907127	-0.3317115576026591	0.15576364088082761	-2.121788855971023	0.033855472885178886	0.2017030070317422
FBgn0000280	0.49493356146143047	-0.014096893877598124	0.040447555468819785	-0.381226017414599	0.7030355451050566	NA
FBgn0000281	0.9926360894943523	0.01261215540947718	0.06119495117601116	0.20511512277020144	0.8374821813654039	NA
FBgn0000283	3526.310085587951	0.10692064668908956	0.10427512625564615	1.0253879063717097	0.30518019220923326	0.7073763170797561
FBgn0000286	484.87382556772405	0.45951288821544467	0.11362244525379224	4.043455236317066	5.266921561096172e-5	0.0011106496270907671
FBgn0000287	0.692535396871298	-0.004440827027831383	0.04419751227910455	-0.09923919723830665	0.9209483535534572	NA
FBgn0000289	3448.762629532962	0.1652667934263029	0.09331657943672549	1.7711740830920162	0.0765317576135802	0.3382760587455274
FBgn0000299	50847.617910807436	-0.5494312422381638	0.11443930107681702	-4.79846814354232	1.5988373104302759e-6	4.983941174049133e-5
FBgn0000303	2.692039391622573	-0.0660538226049091	0.09333844553584318	-0.6838660326144405	0.4940597648289334	NA
FBgn0000307	1642.8245444460538	0.04347112073255426	0.13269448395445774	0.3275646118082244	0.7432408825668491	0.9364683792984919
